szq366477,34,小僵尸,"@藏在江里的女主播<img class=""chat-emotion"" rel=""dy108"" src=""https://shark.douyucdn.cn/app/douyu/res/page/room-normal/face/dy108.png?v=20170626"" />"
Ailols丶喵喵,18,无粉丝牌,峰哥喜欢看哪个女主播可以去问小陈
mengjian0108,20,无粉丝牌,开了呀，别划了呀
背闲楼听茶,6,无粉丝牌,峰哥你的炼金能躲自爆吗
灭菊师兄,10,无粉丝牌,求求你别划了
丁敏kkk,1,无粉丝牌,别划了啊！
蒜蓉胖头鱼,18,小僵尸,开了啊，别划了啊
大王叫我梓潼,31,196,枫哥枫哥 你知道炼金分身躲自曝吗
自然小子,6,无粉丝牌,6000经济小鹿
xyanzixiong,6,无粉丝牌,别吧 很容易被人搞的啊
vk5523694,12,无粉丝牌,黑历史记录表
595676122,19,无粉丝牌,别滑了
CNhappy,11,小僵尸,出意外了啊
szq366477,34,小僵尸,有没有未删减版的
堕落小绯翼,17,无粉丝牌,但是败者组BO1就回家了啊
守门员备胎,24,甜老二,小组淘汰不太容易，就是败者组
DOUYULXZ,6,无粉丝牌,前三天的都放可
小歪dy,2,无粉丝牌,tf厉害啊
买不起房的锅锅QAQ,35,小豆包,老逼别划了
一千零一夜RUA,26,小僵尸,这屠夫
老逼枫我去看钢管舞啦,25,小僵尸,分身躲自爆
大王叫我梓潼,31,196,枫哥枫哥 你知道炼金分身躲自曝吗枫哥枫哥 你知道炼金分身躲自曝吗
枫瘤岑性RUARUARUA,16,小僵尸,这屠夫好牛逼
黑暗游侠丶小江尸,21,小僵尸,要看无码的
张麦芒,10,影魔王,卡尔死了没啊？
小僵尸游侠团108团员,26,小僵尸,开了呀！！别划拉
我的腿真的很短吗,25,小僵尸,划啊，别开 啊
大王叫我梓潼,31,196,枫哥枫哥 你知道炼金分身躲自曝吗
天空无痕sky,16,神机營,划了啊，别开
绿鱼党党魁,32,小僵尸,小陈，帮我们查下胖头鱼喜欢哪个女主播
哈克教官,40,小肚皮,“TA的视频”
图样图森破23419,1,无粉丝牌,我们要看正版
Billyyyyy,5,无粉丝牌,开了呀，别划了
掘地求升,20,小僵尸,划了啊
想你头酱,25,小僵尸,枫哥枫哥试试分身斧躲炼金炸啊
辉煌八月,4,无粉丝牌,西恩加油
senseki深色基,19,小烈驴,别划了呀
q472153951,17,无粉丝牌,看下这几天的集锦
林琳林琳林,18,阿yoo,开了呀
泡桐村民,5,无粉丝牌,所以这是峰哥特权
轩逸尘嚣,7,无粉丝牌,划了呀！别开了啊！
暴怒之子,25,小僵尸,女主播呢？？？？？
有钱就变坏,19,小僵尸,主播有哪个女主播
BBBBBBBBBBBlack,13,无粉丝牌,yyyyyyy
siminy,19,无粉丝牌,这屠夫疯狂针对卡尔
243633232,11,猪芳芳,sjy
匹夫Cc,17,小僵尸,ewnfjksedfhbjkwefhiuehw
idiotman,15,小僵尸,分身躲自曝呀
请输入新昵称123,14,小僵尸,nb六分，别人四分，但是比nb少打一轮
dott11,24,小僵尸,分身躲自爆。
GG丶四米大,22,点子王,这sv
studieren,14,小痒虫,话题还是峰哥会转，女主播是谁呀
天使焦250,12,小僵尸,哪个女主播
Txs1995,27,小緑帽,FTM赢一把，如果有胜负关系，IG就没了
918901997,4,无粉丝牌, 这个屠夫真牛逼
浅井茶茶,22,小僵尸,可以的，看直播回放就行了
如意如意566,26,无粉丝牌,划呀别开了
lovewenconan,21,无粉丝牌,躲自爆又不难
Lv丶sxm,13,无粉丝牌,这个tf吊啊
令狐天雷,18,小僵尸,这卡尔吸勾
田文耀,19,小僵尸,分身躲自爆
