你的微信是我的动力,无粉丝牌,-1,老11比xxs实力摆着那
在下姬霸常,怼怼,11,xxs的中单的确不差 但是相比他的3就没那么吊了
childhood,怼怼,12,北京哭了
9000丶kobe,无粉丝牌,-1,666
愤怒的小黑球,无粉丝牌,-1,xxs的三还有人黑的
黑马,怼怼,10,vgj刘畅换ori
嘿哥,怼怼,12,现在是哪个队都那李逵没办法
walrus9527,无粉丝牌,-1,xinq比赛完后绝壁转会
EVERYTH,怼怼,11,IG对刀不重视给的资金也少，还坑着XXS和BBk不放
LongBB,无粉丝牌,-1,毒瘤总比送好
【剑来】,怼怼,6,boboka可惜了
鞋带很松,无粉丝牌,-1,武侠乂
尹天仇,怼怼,10,xxs打3哪不错了？举例？拿去年dac来说？？
喂自己袋盐,怼怼,7,龙神确实大气
红鲤鱼与绿鲤鱼与驴旅游,稻稻,4,几点开始
ob明哥,怼怼,13,卡卡真不差，你不能指望四号位拯救天下
EraGon.do,怼怼,3,希望ig赶紧踢了bbk别再耽误人家了
采蘑菇的小怪兽,怼怼,9,龙神你唱歌真好听！多唱几句
老子个签带配音！怕不怕？,怼怼,12,队太多了 实力太散
浪客剑心,怼怼,4,IG有什么好吹的。就是王思聪没钱。
itsTreesch,怼怼,10,你还真别说，BOBOKA换其他队 根本不可能带来多大提升
新疆小龙人总代理,怼怼,5,龙神龙神，微信群给新疆小龙神一个位置啊
YellowStar,无粉丝牌,-1,王思聪在最早那会把电竞工资合同恁正规了还好，后面就瞎搞了
cndota,军师,5,啥时候开始比赛水友们
川川贝,无粉丝牌,-1,六个队合并成3个队，碾压世界
半颗牙,无粉丝牌,-1,什么游戏
轩榭,怼怼,10,6666
此岸,无粉丝牌,-1,小学生这个坑逼 快踢了
吉吉,无粉丝牌,-1,今天没比赛吧
Pro_zsky,无粉丝牌,-1,xinq转会你说看不起我洛富贵
虔诚一世之歌,怼怼,10,绝活陈 精灵 小牛 先知 这些是中国队最怕的
梦里不知身是客,怼怼,9,卡卡是因为寄托的希望太大，但是表现只能说中规中矩
黑与白,兠兠,3,vgj只要换掉2号位 绝对起飞
你的微信是我的动力,无粉丝牌,-1,去年dac怕不是笑死我，还在回味去年
333221123,无粉丝牌,-1,其他人都不爱说话，他是个话唠
半颗牙,无粉丝牌,-1,游戏？
walrus9527,无粉丝牌,-1,说合并的，凭什么？你给钱？
qq_co8ig5xvl0em,无粉丝牌,-1,xxs转中单之前那阵不是天天被叼着打？
东邪,怼怼,1,今天没比赛吗
王添添,怼怼,10,磨错了
shenpy,怼怼,14,没4号位爹，老11皮鞋拉裤裆
JHarden,怼怼,3,wsc只是不在意dota分部了
何度、,怼怼,10,瞎
今夕何夕,无粉丝牌,-1,瞎？
/晕,无粉丝牌,-1,长枪三
勿言枫厌路窄江寒,怼怼,6,瞎子
泼洒,怼怼,11,无敌打3怎么样
cutyLan,怼怼,14,666
源小盆友,无粉丝牌,-1,Ti8以后绝对会战队大变动
龙神两米八,怼怼,5,明年全部合并之后cn应该会有很大的提升啊
站在凳子上的矮人狙击手,怼怼,7,换人了我皮鞋杨怎么玩
何度、,怼怼,10,好TM瞎
微微一笑,无粉丝牌,-1,12点了！
_归来,无粉丝牌,-1,长枪三啊
swrcx123456,怼怼,5,梦之队：cty、流畅、老十一、国土、随便来个5
Lubaoyu,无粉丝牌,-1,长枪三不要？
  ×   迟钝先生。,怼怼,7,流畅虽然很努力，但是是真的菜。。
shenpy,怼怼,14,波波卡估计合同快到期了，到时候自己走就好
小子，哥在这,怼怼,5,龙神不开珍宝吗
BOT Jason,无粉丝牌,-1,瞎子龙
哑舍,无粉丝牌,-1,瞎
JHarden,怼怼,3,wsc都上lol职业赛场了
ReGgaSHark,无粉丝牌,-1,长枪3真的没看见吗
小龙人、强无敌！,怼怼,5,长枪3
morfeeeee,怼怼,7,瞎子龙
9000丶zhou宝龙.我心飞翔,怼怼,17,..
Drisy,无粉丝牌,-1,长枪三啊 聋瞎
杨过儿,怼怼,5,3333333333
修改昵称,怼怼,10,流畅努力？我真没看出来
你的微信是我的动力,无粉丝牌,-1,合并的知道什么是合同吗
shenpy,怼怼,14,莫奈头 小明鞭 估计也都到期
半颗牙,无粉丝牌,-1,什么游戏
wwlxt1314,怼怼,13,666666666
晚饭+鱼,无粉丝牌,-1,今晚没比赛吗？？？
shenpy,怼怼,14,国内有钱的只有vg了
walrus9527,无粉丝牌,-1,ig就是把自己做宝搞
千夜飛,怼怼,9,梦之队5号位YAO啊
源小盆友,无粉丝牌,-1,Ig解散得了
想退出要趁早,无粉丝牌,-1,姜在哪
虔诚一世之歌,怼怼,10,无敌的三一般般 需要优势才能发挥
短笛短声,怼怼,8,搞点流星蝴蝶剑的招式，搞个吃鸡模式，就是这个武侠
xxhhysyl,无粉丝牌,-1,龙弟弟
cndota,军师,5,今晚没比赛？
青眼白龙,怼怼,13,1
王一碗的小饭碗,怼怼,9,那五号位肯定是我球博士了
YellowStar,无粉丝牌,-1,自从IG进军LPL了，王老板好像重心也不在刀塔上了
浪客剑心,怼怼,4,IG都搞了2年多了。还是没拉到大腿。
吉吉,无粉丝牌,-1,今天没比赛吗
年糕君,怼怼,13,233333333
给我小龙人一个面子,怼怼,11,龙神牛逼，龙神天秀！
此岸,无粉丝牌,-1,打比赛努力有用的话 还要什么天才
川川贝,无粉丝牌,-1,Dota2又不火搞那么多俱乐部不合并干嘛？
龙神招我做女婿,怼怼,10,厉害的弹幕大神请到面8微博下报名，要求对你们来说很低
是你想太多,怼怼,11,.
爱若如初,怼怼,10,国内最菜中单就是流畅了
shenpy,怼怼,14,太后要是想用莫奈头肯定会给他组队，但是太后估计没钱
王者大大?,怼怼,8,233333333333
修改昵称,怼怼,10,IG的中期，问题暴露出来多久了一直没解决
newqq_05lz1ti9r,无粉丝牌,-1,。。。。。
狂ペ飆＾,怼怼,9,Okay
阿联酋谢霆锋,无粉丝牌,-1,哈哈哈哈
black_hole,怼怼,13,巨龙巨龙，与众不同
EVERYTH,怼怼,11,IG管理层都在舔老板，根本就不重视DOTA
walrus9527,无粉丝牌,-1,说只有vg有钱的，ehome老板了解下
年糕君,怼怼,13,僵硬
333221123,无粉丝牌,-1,刘畅打个天梯菜还各种装逼
qq_co8ig5xvl0em,无粉丝牌,-1,说合并的就是弱治，你看哪个项目打不过要俱乐部合并一起去抢成绩
西柚风味,怼怼,8,梦之队肯定有rotk
啸速,怼怼,13,。。。
donqiudonqiu,怼怼,13,日常跳马
看完就飞,无粉丝牌,-1,0
吉吉,无粉丝牌,-1,今天没比赛吗
2279299951yy,无粉丝牌,-1,小肥也有钱
龙神牛逼【破音】,怼怼,4,菜逼就是菜逼还讲努力的喽，撸狗心态也学的
你的微信是我的动力,无粉丝牌,-1,ig老板是最有钱的
修改昵称,怼怼,10,流畅的对线难受
donqiudonqiu,怼怼,13,金蛇郎君呢
凝渊,怼怼,4,王老板都不管dota了  现在只关心lol
鞋带很松,无粉丝牌,-1,舔狗当道
给我小龙人一个面子,怼怼,11,2333333
鞋带很松,无粉丝牌,-1,龙神牛壁！龙神天秀（破音）
鞋带很松,无粉丝牌,-1,龙神牛壁！龙神天秀（破音）
shenpy,怼怼,14,ig能说出中期节奏不好，是因为波波卡想打架，这个队就是没救了
swrcx123456,怼怼,5,卖掉boboka再买几个韩援带王老板打lol不是美滋滋
马下惠,无粉丝牌,-1,现在世界范围内就没有一骑绝尘的3，国内更缺
渡天,怼怼,10,嫌弃Dota不火的  真替你感到羞耻
泼洒,怼怼,11,流畅很装逼的，boboka:CN 加油。流畅：戏精
……12,无粉丝牌,-1,王思聪不丢人吗，ig一轮游
甘尼梅德,无粉丝牌,-1,今天没比赛吗
修改昵称,怼怼,10,NB憋屈一如既往，哎
