鹿真97699：,6,无粉丝牌,噪音攻击卧槽。。 
atpc25417：,1,无粉丝牌,校花~直播喝精 围脖号：欣尼宝宝ｙ
大耳贼691：,8,无粉丝牌,  这里面有轻功吗
王尼玛之怒：,15,小僵尸,丐帮每日福利
wuzeyu001：,9,小僵尸,武侠乂
一口好牙：,35,小僵尸,玄铁重剑要砍一只手才厉害
IceDestinyo：,5,无粉丝牌,乂
colaen：,19,炸弹师,百家衣都没有
温先生的聚会：,19,小僵尸,！
tl650121：,14,无粉丝牌,绝世好剑
yfynije43373：,18,小僵尸,重剑无枫
dota2iw：,14,无粉丝牌,无敌3连踢
小怪兽乖：,10,小僵尸,游戏五分钟，匹配两小时
xms1996：,17,无粉丝牌,重剑无枫
Darkate：,16,无粉丝牌,重剑要自断一臂才厉害峰哥
萧萧奕水寒：,17,小僵尸,你一直在刷什么小朋友打的游戏，你别看好吗
咖喱给给12：,15,无粉丝牌,奏乐哥
就是要出圣剑：,23,无粉丝牌,武侠X
萌萌小暗帝：,11,无粉丝牌,丐帮穿啥衣服
1010630172：,20,无粉丝牌,聂风用过无双剑
BBSS25：,10,小僵尸,x
萝莉的猫：,12,无粉丝牌,江湖是小学生玩的？
二宝：,18,无粉丝牌,杨家村
豆豆丢了啊啊啊啊啊：,19,无粉丝牌,武器大师
计生会会员：,7,无粉丝牌,狙击的可以出发了
辅音韵母：,15,屠龍刀,这是在乱你们心境，先下手为强
精灵小淡淡：,23,小僵尸,峰哥你能坚持五分钟不死么？
你们他妈的好：,12,无粉丝牌,不作死就不会死啊
云血雨：,21,小僵尸,丐帮每日福利.
liuming13：,24,BRZ,这把要是吃鸡我芥末擦吊
功夫大龙翼：,15,小钻風,这游戏有发内功的就好了  最好是金龙
喘气小僵尸：,15,小僵尸,枫神腿？
385404261：,6,无粉丝牌,DreamGame总共开发只有10个人
布贰臣：,3,无粉丝牌,彩笔三连踢
大头大头鱼啊：,13,小僵尸,菜逼三连踢？
乱舞の风：,14,无粉丝牌,卢镇
极品巨能钙：,17,小僵尸,乂
XiiiL：,19,集团军,十字岭
祝忆补刀：,7,小僵尸,乂
DJIAzhen：,23,小僵尸,你什么时候见过丐帮有好衣服穿嘛
