皮皮猫在睡觉：,21,小肚皮,翔哥真的天才
夜游：,8,小肚皮,向大大好惨
孤独观测者：,9,小肚皮,别人看到你就吓跑了
爸妈说我6：,23,小8路,向大大一心钻研剑道，不需要剧情
可还记得谁：,24,小僵尸,这个游戏之后应该不可能有女粉了吧
鱼沏的红茶：,52,右右,不是，这游戏就一直是这样么
膨胀鸡驴粉丝：,18,电棍,难道是铁斧头 银斧头 金斧头的剧情么
高博爱：,10,无粉丝牌,自闭伐木就完事了要啥自行车
泽轩最萌：,26,小肚皮,魅力气质高。以后到黑街有剧情
碎月zzzz：,11,无粉丝牌,你想触发一拳打死养父的剧情吗
xiaozhuzhibo：,18,小僵尸,智力2？
paper在哪思密达：,12,无粉丝牌,女猩猩还行
小僵尸他lei了：,16,小僵尸,DC？
世界尽头冷酷仙境：,18,集团军,一天没看，谁能说一下多少斤了
陈默1989：,29,蜀军,果然，女人都是大猪蹄子
mua甲的10086号技师：,14,小赢僧,体力上天 智力归零
吸液泄拨阴彬：,12,小僵尸,烈女敲门了
撕碎我：,15,粥宝,克里斯提娜？？？
iG_ak：,22,小肚皮,智力1降不下去了
acm7toto：,17,JSA,闹海么
623134986：,6,无粉丝牌,63kg了，没剧情了
YBird：,20,无粉丝牌,64kg了
LYX57796：,7,小僵尸,dc。。。
那是松鼠吗灬得了吧你：,26,汽车人,克里斯蒂娜？dc老师也在吗
未登录的游客：,13,尹志平,dc警告
孤独观测者：,9,小肚皮,DC老师卡哇伊（大嘘）
太岁平安：,23,一发,哈哈哈哈哈
fantongkw：,25,女流,dc老师
武帝12138：,19,修仙迪,你才发现？
5641654565：,15,女流,还有dc老师？
南熊丶晨哥：,46,小肚皮,dc
在下瘤穿枫：,23,小僵尸,Dc老湿
jhnzry：,25,憨厚哒,别，不胖
曲径通幽处_8Ha：,12,无粉丝牌,女装dc
pkukevin：,20,小肚皮,mary
虚夜の传说：,27,无粉丝牌,64
623134986：,6,无粉丝牌,64
玫瑰之翼：,12,集团军,Dc
芙兰莉亚：,20,小僵尸,只是稍微有点吗
YBird：,20,无粉丝牌,已经64kg了，这么快
萝莉控Love：,17,寅子,64
尔康0312：,12,无粉丝牌,查利亚的童年
菜菜在那遥远的地方：,28,无粉丝牌,坦克啊卧槽
txyooa：,16,小僵尸,64kg。。。
鱼龙舞风：,17,无粉丝牌,稍微？
mu棒zard烈：,26,小肚皮,是壮
魂淡斗斗：,18,无粉丝牌,稍微哈哈哈哈哈
E灬枫：,23,小肚皮,浑身疙瘩肉
海鲜和海鲜：,9,无粉丝牌,64.....
Hunter丶283：,18,196,什么游戏
Litt1e丶Traveler：,27,小肚皮,不胖  这是扎实
qq10036401：,18,小肚皮,稍微？
爱影莫绰：,14,小肚皮,关爱空巢老人翔哥
acm7toto：,17,JSA,稍微？
iG_ak：,22,小肚皮,哈哈哈哈哈哈哈哈
海砂的小迷妹：,20,小渣男,64
濄早：,21,小荔枝,稍微？
足音：,25,小僵尸,64了
天梯送：,8,无粉丝牌,废话
seraphim酱：,9,无粉丝牌,稍微???
小缘赐名的小妙：,35,196,稍微。。。
祁鱼w：,22,集团军,很胖
沉默的水友：,16,小僵尸,已经是坦克了
BL无趣：,8,无粉丝牌,64还可以吧
albertdph：,11,无粉丝牌,女猩猩？小猿吗
孤独观测者：,9,小肚皮,170CM 74 KG
mmmiiiracle：,18,小皮鞋,64kg，稍微？
壁立千仞SH：,14,小僵尸,结实
lqagyw：,25,小僵尸,女dc
鱼沏的红茶：,52,右右,64公斤？？
一笑Busters：,23,小緑帽,、坦克
大妈的口可口可：,16,小肚皮,减肥，减到45
伟哥0911：,13,小8路,这叫壮
申大根：,12,猛男,无解肥
XIAO璟：,5,无粉丝牌,壮
