饮酒乐岂,15,无粉丝牌,锁定冠军！
只看不学就不,10,小电鸡,决赛预演
暴走的菜刀陈,13,小僵尸,打赢了李逵基本就稳了
Miracle炁霁,12,无粉丝牌,奶死往死里奈
式微Sama,14,无粉丝牌,奖杯已经发货了 别问
lxh294117024,6,无粉丝牌,心疼赛老师
mocoku,25,小僵尸,LGD打李逵有一套的 
69531退我鱼丸我不赌了,43,小僵尸,暗示？
h独孤求胜,6,无粉丝牌,李逵应该比eg好打点
可啪的人,16,小肚皮,锁定冠军
不打脸好吗,30,小肚皮,lgd挑选亚军
CNRUA神,28,小肚皮,冠军盾已经送到lgd基地了，其他队争第二
浪非AAA,17,小肚皮,地狱级
伸缩自如徳爱,18,无粉丝牌,你们说流畅会1踢4吗？
A卡毁一生,12,无粉丝牌,奖杯都已经邮寄到基地了
KamuiVVV,9,无粉丝牌,别问 问就是咚咚咚
Sakazuki丶冥狗,16,小豆包,想要拿冠军必须打液体
本世子没法儿赏了,18,小肚皮,建议翔哥加入maybe粉丝 看看今天的蓝猫秀
xxxxx17,15,集团军,亲自拿冠军
Nineteen1019,11,无粉丝牌,还需要我声明多少次？
不能为空000,12,小乌贼,哎 不用熬夜的ti 百斯特TI
cglover333,3,无粉丝牌,冠军盾已经在到lgd基地的路上了
暴怒之子,25,小僵尸,6
Sparrow233,5,无粉丝牌,奖杯已经在海关打包了
送who的独白,7,无粉丝牌,唯一指定冠军lgd
血压拉满姜瘤儿,22,小僵尸,大胆预测，LGD2-1赢李逵
情话与狗iiii,17,小僵尸,烦死了
奋斗的小掌柜,38,无粉丝牌,打不赢李逵都是白扯
大黑1437,13,老工,lgd打李逵不好打
张旺大神,20,无粉丝牌,你们是真的能吹
落意不觉,13,无粉丝牌,冠军奖杯配送中
frank19422,7,无粉丝牌,没的舔了呀炸翔
GTX998,1,无粉丝牌,干掉李逵
鹏大王,11,小豆包,zard学洛天神一样组个队
邵怼怼aka,18,无粉丝牌,随便打
蓝胖爸爸很清真,15,天宣占,xg自己搞个队啊
A站嘴强王者,18,小僵尸,XG组个队吧
夺命剪刀腿0,19,无粉丝牌,LGD目标只有冠军
不如學習,26,小僵尸,lgd没了就不看了
一瓶维生素,10,无粉丝牌,想的冠军谁都不能怕
今天打老虎,28,小肚皮,弹幕说的对
对着人生已经醉了,16,小僵尸,再打一次勇士联赛就是冠军了
comics1,9,无粉丝牌,决赛vg打lgd
武汉佛系少女,15,影魔王,赢三把dota就是冠军了
只看不学就不,10,小电鸡,这把打赢了8成就赢了
血压拉满姜瘤儿,22,小僵尸,然后决赛3-1拿下李逵
张克俭51458,1,无粉丝牌,还有几支中国队
超绝可爱杜佳丽,33,小赢僧,gtmd李逵
林玄霄,22,小僵尸,能赢李逵就有戏
葬花_葬花,17,冷寨主,再说最后一遍LGD唯一指定冠军
瞧那头猪在笑,3,无粉丝牌,你们他妈逼滴继续奶！LGD就是被奶死的
ZingLix,19,女流,奖杯去年就送到了啊
不能为空000,12,小乌贼,今晚不用熬夜了 明早七点看一场就可以了
天暧上海灬,23,小肚皮,李逵大敌吖
围炉夜话,13,小肚皮,过了李奎还有eg啊
大老師丶,28,小僵尸,要夺冠 肯定有硬仗
不再Sunset,18,小僵尸,冠军盾是LGD借给V社的
Mzg好无奈,13,小赢僧,赢了李逵！ts锤了op锤vp
lyccao,10,小肚皮,决赛肯定有李逵
邵怼怼aka,18,无粉丝牌,有啥难打的
黑蛋zq,12,小肚皮,ZG向大大 ZG翔哥
653341641,2,无粉丝牌,李逵还是厉害
天刀李寻欢,15,小肚皮,25号决赛吗
我没知识我自豪,14,小肚皮,盾在路上了 还在过安检
