二五仔66666,25,小赢僧,修精？
木习习栩栩如生,2,无粉丝牌,这是啥游戏
迷路的小九,29,无粉丝牌,我玩steam用毛加速，你住美国吧
寂寞的see,23,250,我已经提前一个月打了辞职报告了 
于人不愚,7,无粉丝牌,年假不是一年的假吗
风萧萧逸,21,一发,广东人民注意了，三点钟下班滚蛋。台风来了
勇往直前,0,无粉丝牌,这是什么游戏?
头酱的右护法,30,小僵尸,明天有没有一起辞职的啊
kelamendeze,14,196,审批部门都不是一个
Gfooz,4,无粉丝牌,画面贼鸡儿模糊
ZippoIdol,25,集团军,今天晚上12点开始吗？
曹浮生,10,小痒虫,ti来了你怎么还抽烟
只会666的咸鱼啊,15,小僵尸,小组赛你们都要请假看?
约瑟Silence,5,无粉丝牌,这个是啥游戏呀
hghg22002,17,集团军,host不会改？加你吗呢
丶糖果,6,无粉丝牌,yyf当时最强三号位，但是鲷哥状态持续时间长
老陈的粉色蕾丝bra,28,集团军,巅峰820？最叼这一团？
duan252422725,8,无粉丝牌,应该加三人马车🐴车上能放箭
iriyanemu,3,无粉丝牌,明天请假睡一天，晚上起来有毛病?
粉条NPC睡不着大魔王,29,小僵尸,我巨龙 当年中国dota第一人
晚安MrY,3,无粉丝牌,围攻光明顶？
我的琥珀霍霍,34,小荔枝,社区要加速器 商店要你m加速器
sd43427,13,集团军,STEAM市场随便一个免费加速器都能开逗呢
LGD丶XGSB,9,无粉丝牌,今天也有台风?
天一涯剑仙,5,无粉丝牌,为了看Ti已经准备辞职
jayas11,19,小僵尸,你不是长剑吗
kelamendeze,14,196,host改了也要加速
精神科姜医师,23,无粉丝牌,MMY还不如430，比苏美尔差十条街
tangchen1846,7,无粉丝牌,想看高清去巨龙TV
约瑟Silence,5,无粉丝牌,有人知道么这啥游戏
o懒人好慢o,8,无粉丝牌,有一句讲一句，老陈OB就没输过谁
针扎杜蕾斯,12,无粉丝牌,魔兽这个孤儿广告
Ssjsnz,5,无粉丝牌,川菜
话说的再多不如沉默,23,集团军,辞职过分了
再见布拉拉,1,无粉丝牌,已辞职
DarKMagicianGirl,39,K0K0,团灭倒计时
abrando,17,集团军,这斗鱼广告丧心病狂啊 魔兽nmb啊
巨坑橡皮擦,7,无粉丝牌,哈哈哈哈啊哈哈哈
老陈你是最胖的,33,小肚皮,开了加速器就扯要加速器，买个游戏行吗，没加速器流畅的一比
xmanht,29,小僵尸,820dota1第一人，有问题吗
夏夜的麦甜圈,12,无粉丝牌,弹幕呢
qq1230qq,13,影魔王,我在波士顿看三三直播
ssss102223,7,无粉丝牌,mmy巅峰比苏美尔差？
我还是楼上他爹,18,小赢僧,Steam 云用户就别逼逼了看看你买游戏能买不
叁仟成林灬,20,小僵尸,版本对手都不一样，没法儿比
