捡碎片,16,小僵尸,看比赛啊
吃两大碗,15,小僵尸,真实
缘来我叫RUA啵啵,31,小緑帽,-2
戛然,17,小僵尸,扣一分
切土豆的小突突,12,集团军,66666
God好咯爱吃屎,13,无粉丝牌,上香-q
复生者乐园,23,小僵尸,上香
夜刀集,16,无粉丝牌,上香
小格大神,19,集团军,不懂规矩嘛
Gakkiの夫,30,无粉丝牌,遮一下水印呀
不耻反荣丶汤圆,18,小痒虫,-1
叫我如花就好,19,集团军,-1太真实了
慌张你真是矮,18,一发,傻愚娘搞你啊
Brilli,16,无粉丝牌,上香
丫丫丫丫二丫,9,小僵尸,行长生前是个体面人
水瓶座付归铭,15,集团军,赶紧放出来啊敲里吗
DDGe951,19,小僵尸,上香
最爱怡靓靓,17,小僵尸,.
PepsiCoRUA,35,小僵尸,iii
kelisijiadena,5,无粉丝牌,上香
木木木沐妤,22,小僵尸,整改完了可还行
Saber酱o0,27,小僵尸,上香了
荭葉丶,19,集团军,？？？？？
ll105118,8,无粉丝牌,上菜
静待鸡米花儿开,21,无粉丝牌,上香了吗
senseki深色基,19,小烈驴,什么鬼规定
DY一小杰,11,无粉丝牌,LOGO不能有
1296820640,16,小僵尸,先点菜吧
吾丶LZ,12,无粉丝牌,川老爷生前是一个体面人 大家上柱香再走吧！！！
黑喵控,21,小僵尸,没刷新而已
明耀天下,15,集团军,老陈你看ecl进击的嘲讽啊
磕金斩杀,18,无粉丝牌,盗播天才··
爱成奎安真是太好啦,12,无粉丝牌,这不永封？
wuom99,14,无粉丝牌,-1
荒田半亩丶,9,小僵尸,至少封TM的个一天啊
紙靜,42,无粉丝牌,🐎呢
霜痕月,19,无粉丝牌,回魂
不要脸不要命,11,小僵尸,-2
十年之后一如初见,23,集团军,你少放放这些，低俗一笔
新不了情之饭菜双皇,40,小乌贼,不能出现其他平台的名字
恶魔丶阿伦,30,小烈驴,我们都在上香呢
南胖子85,25,小僵尸,b战就可以？
亚瑟王不可能是女孩,13,无粉丝牌,牛逼
皮鞋yang的小迷弟,25,小渣男,上香
苏谨澄,22,小乌贼,啥玩意啊
ressouvenir,15,小僵尸,小陈不给老陈面子啊
stdota27,10,小僵尸,看你麻痹douyin呢
achidekiss,10,无粉丝牌,挡住再发啊
3分钟背影,19,小僵尸,一鞠躬二鞠躬
我是陈某某啊啊,28,小僵尸,-1
RuaZuI,29,小僵尸,上香
K0982,12,无粉丝牌,gtmdtx
在火锅上刻一个早,18,无粉丝牌,-1
老咚冬子,16,小僵尸,干的漂亮，这BGM受不了了
打呼的五倒老尸是厨子,11,无粉丝牌,男版陈一发
辣椒今天唱烤面筋了吗,12,小肚皮,腾讯爸爸很生气
Eternity07,30,枝宝宝,哈哈哈哈
不理al,15,集团军,秽土转生牛逼啊
恶魔丶阿伦,30,小烈驴,上香
CquYaphetS,23,小僵尸,吐口痰再走
kyd12345,13,小僵尸,抖阴
曦美人兮见之不忘,12,小人参,一鞠躬
无关风月丶牧旒雨,30,小僵尸,这就整改完了？？
sdire,31,无粉丝牌,老陈身前也是个有身份的人
我爱豆豆渣哥再见,31,小渣男,上什么香，三三生前是个大厨子，大家吃口饭再走～
此生无悔小僵尸Rua,23,小僵尸,诈尸
舍卡贝欧,16,QQ星,hhh 
Samael旻,31,小豆包,虽然很想笑，也确实笑了，但违规点在哪？
zjingpart1234,10,无粉丝牌,上香
Caceres,21,小渣男,你在诈尸啊
丧心病狂呆毛控丶,31,小肚皮,上香上香
chenkai0725,12,小僵尸,智力-1
丶细水长流丶,18,小8路,陈姥爷
生如夏花vipppp,16,无粉丝牌,上香
格格不再,9,集团军,永封
集团军后勤部门卫,15,集团军,说改一天怕不是要饿死我们
Solitary彧,27,小僵尸,分多扣就完事了
467506430,22,集团军,lcsb
你这个逼,14,无粉丝牌,不能出现其他菜馆的招牌
天池学长,9,小緑帽,上菜
此生无悔入华夏丿,26,小僵尸,太真实了，封1分钟
ttlove1,5,无粉丝牌,上香
小羊肖恩bbb,17,小僵尸,上香
isolatepotato,17,小肚皮,上香
啵啵啾咪MUA,21,小烈驴,上菜
脸红的发发,34,无粉丝牌,诈尸了
枯残,11,集团军,突然去世
池曲and青雉,19,女流,陈二发。哈哈哈哈哈哈哈
鸽应,13,小渣男,回魂啊
信念早已腐烂,19,小僵尸,我田伯光没牌面啊
doubi_123,23,小僵尸,LOGO太大了
haige2253,25,集团军,-1
vgedz,25,小僵尸,这超管一整改，弹幕就多了，自己人呀
预感鱼竿,32,集团军,拿个斗鱼的挡挡
仲夏开到荼蘼,24,小僵尸,陈一发和陈一驯？
天边暗淡,8,无粉丝牌,-1
莫罗斯的著名抹布,25,集团军,开啊  刚点开
ckjpk7853,13,集团军,233333333
ankhtu,20,小僵尸,一鞠躬
yaoaaasdfsdg,9,点子王,秽土转生？
老陈爹地卖油条,16,集团军,上香
墨麟zf,18,无粉丝牌,33走的很安详
iceiceice20055,8,无粉丝牌,上香
峰哥脑残粉yyf,5,小钻風,上账
天才无才,18,小僵尸,诈尸成功
哈尔莫尼,14,无粉丝牌,？？？这是为什么能解释下吗？？？？
tocls,30,9438,最基本的啊，你要注意啊
阿卡积分,18,小僵尸,我香才上到1半呢
carltonkk,23,小僵尸,永封
demonhang2,17,集团军,老实点 cyc
楚风prpr,13,小僵尸,←_←
nimenhaoyudoubi,14,小僵尸,某抖这种垃圾软件腐蚀了老陈
梅菲斯特丶丶,15,小僵尸,-1-1-1-1-1-1-1-1-1-1-1
pomingchao1230,17,无粉丝牌,上柱香再走
fantasyworld94,24,集团军,诈尸
一口好牙,35,小僵尸,诈尸了
花霏花吧,21,小僵尸,斗鱼还想上市吗 拿头上啊
小布丁点,15,小僵尸,？？
夙革岚马,17,196,真快
污了个咚,18,小僵尸,川神，是时候去请鲨鱼娘吃辣椒了
峰哥房官好厉害求封我,27,按摩师,给主播上香
老陈那里脏不要舔,29,小僵尸,小陈出来寿司
行云亦风,28,集团军,卧槽 骷髅王大
Oxy氧气,26,小僵尸,-1
gary狂摸,20,无粉丝牌,开灯啊
1064964530,9,小僵尸,有些人虽然活着
肖33456,6,无粉丝牌,上菜
柳柳昭陵,16,小电鸡,上香的刷新啊
丶巴赫,14,小僵尸,23333一般都见过星秀主播被关，你漏点了？？？？
鱼离水能活,13,小僵尸,可太他么蠢了
小僵尸OB天团,23,小僵尸,上香上香
缘来我叫RUA啵啵,31,小緑帽,上香，上香！！！！！！
lq5236637,5,无粉丝牌,活死人
汉阳赌神008,27,集团军,香不要停！！！
lullululu,12,无粉丝牌,上香
disarrow,9,小僵尸,终于老实了
迷你酷per,12,小肚皮,超管素质吊差
2364755944,14,集团军,上香
我为甜心来,14,无粉丝牌,你他妈我香还没点呢！！！！！！！
陈一汪儿,19,集团军,？？？？？？？
196天梯9000岁,31,小僵尸,陈老爷生前也是个体面人
磕金斩杀,18,无粉丝牌,？？？？？？？？
唱首歌祝福,14,小后羿,岁土转生
秋天的安徒生,49,集团军,cs咱们反了吧
锦瑟丶大魔王,18,无粉丝牌,老陈，一路走好
一头大灰狼,20,小僵尸,上香
捡碎片,16,小僵尸,。。。。。。
老师12341234,8,小僵尸,73个人啊
大脑阔脑壳大,23,集团军,陈姥爷，走好
人生如戏全靠演技w,11,小僵尸,诈尸
