大师兄,怼怼,10,破费沃德
小腿小腿河道溺水,怼怼,12,差个狙击手卡片 有的聊一哈
lll,无粉丝牌,-1,TI6换影魔小炮
lll,无粉丝牌,-1,TI6换影魔小炮
devil_tegong,怼怼,6,-helloworld
龙业银行理财经理,怼怼,10,这么……
Mwb。,怼怼,10,10级了
小饭碗在此,无粉丝牌,-1,破费，我的
希仔,怼怼,6,麻将麻将麻将麻将麻将麻将
！,怼怼,9,手机没蓝光吗？
ROSHAN,无粉丝牌,-1,轮子不行
☞...老铁,怼怼,8,哈哈哈哈
天台胖,怼怼,5,打麻将啊
︶ㄣ訫❤眺 彡,怼怼,11,世界第一可爱
2046,怼怼,9,6666666
闲愚无梦,无粉丝牌,-1,邪皇不搞事
一只大胖胖,怼怼,3,感谢这个B送的13个虎粮
剑舞,怼怼,2,430牛逼
白衣卿相,无粉丝牌,-1,大哥牛逼
你就不怕我姓梅？,无粉丝牌,-1,阴阳怪气的
尕茶_               。,无粉丝牌,-1,不买ams的？
腿哥,无粉丝牌,-1,腿皇
AnuraLuka,无粉丝牌,-1,垃圾箱子还真比不上龙神的青睐
前列县副县长,"黑店
",12,6666
      培      ,无粉丝牌,-1,430
昆卡kunkka,怼怼,6,老逼龙多开几个啊
小小小龙,怼怼,11,666666666
小小小龙,怼怼,11,666666666
--perfectworld,怼怼,12,1
刹那芳华,怼怼,14,老逼来了
月沐,怼怼,8,430
邪恶killeR,怼怼,19,AMS的白虎！！！好刁！！
小小小龙,怼怼,11,666666666
狂ペ飆＾,怼怼,9,……
lll,无粉丝牌,-1,TI6换影魔小炮
小小小龙,怼怼,11,666666666
狗头铡,无粉丝牌,-1,邪恶懂点事
何度、,怼怼,10,Ams
邪恶killeR,怼怼,19,开个 AMS的白虎啊！！
打工战士,怼怼,5,大哥！
羽-翼,无粉丝牌,-1,腿皇
长风,无粉丝牌,-1,龙神龙神什么时候开啊
oo殺,怼怼,9,430
無邪。,怼怼,4,..............
龙神龙神求你关了我,怼怼,11,买圣腿皇的啊
何度、,怼怼,10,完？？
never say forever,怼怼,6,大妈牛逼
你就不怕我姓梅？,无粉丝牌,-1,龙神腿皇的暴率高
就叫宛如吧,无粉丝牌,-1,王宛如来扫码！
eye晴,怼怼,11,邪皇你怎么知道ams白虎啊
爱听钢琴的男孩都不坏,怼怼,1,666
何度、,怼怼,10,烟？
我头上有犄角,怼怼,8,6666666666666666666666
龙黑头子,无粉丝牌,-1,好狠。。。
*C*=GreatSky=/CD,怼怼,8,让小白猪来开啊
YaphetS丶小屁哥,怼怼,9,……
不及雨嘉禾,怼怼,6,大哥拉满
之欧乌诶,怼怼,10,退皇才是王道啊
爱玩丶大叔【随心②团】,无粉丝牌,-1,开了啊
划船卜靠桨,怼怼,15,两轮应该啥稀有都没
2116842672yy,无粉丝牌,-1,买ams啊！
萌汉药,怼怼,8,ams
邪恶killeR,怼怼,19,1轮
千年的泥鳅,无粉丝牌,-1,龙神先买他大哥的有问题？
之欧乌诶,怼怼,10,凉了
ฅ(⌯͒• ɪ •⌯͒)ฅ❣,怼怼,9,gg
邪恶killeR,怼怼,19,记着点
尕茶_               。,无粉丝牌,-1,用王姐的钱不敢买ams
qty88hbk,怼怼,6,566都是女的开出来的
文文~~,无粉丝牌,-1,龙神 腿皇和小鸽子的爆率高
ROSHAN,无粉丝牌,-1,轮子都废了
takumi,怼怼,13,2333333
萌汉药,怼怼,8,ams
      培      ,无粉丝牌,-1,极度舒适
Mikephone,怼怼,10,腿皇好中
邪恶killeR,怼怼,19,2轮！
离殇之雪,怼怼,6,哈哈哈哈哈哈哈
2116842672yy,无粉丝牌,-1,ams ams ams
